Date,Change in cases,Recent cases,Recent cases % of cases,Total cases,"Total cases  per 100,000",Total hospitalized,Total hospitalized % of cases,Total deaths,Total deaths % of cases,New tests,Daily % positive,Total tests,"Total tests  tests per 100,000",At least one dose,At least one dose % of Ontario  population,Fully vaccinated,Fully vaccinated % of Ontario  population
"May 23, 2021",1446,31350,6,523911,3555.8,26066,5,8622,1.6,20151,6.4,14994268,3555.8,7725706,52.4,612396,4.2
"May 24, 2021",1039,30266,5.8,524950,3562.8,26127,5,8655,1.6,16857,6.2,15011125,3562.8,7806793,53,619314,4.2
"May 25, 2021",1095,29147,5.5,526045,3570.3,26241,5,8678,1.6,24008,5.3,15035133,3570.3,7917895,53.7,645305,4.4
"May 26, 2021",1135,28085,5.3,527180,3578,26366,5,8697,1.6,37705,3.6,15072838,3578,8038750,54.6,673535,4.6
"May 27, 2021",1273,27028,5.1,528453,3586.6,26434,5,8711,1.6,40866,3.4,15113704,3586.6,8168736,55.4,704236,4.8
"May 28, 2021",1057,25475,4.8,529510,3593.8,26493,5,8726,1.6,33559,3.6,15147263,3593.8,8283806,56.2,739698,5
"May 29, 2021",1033,24085,4.5,530543,3600.8,26559,5,8744,1.6,26565,4.2,15173828,3600.8,8400991,57,769841,5.2
"May 30, 2021",916,22944,4.3,531459,3607,26602,5,8757,1.6,18226,4.3,15192054,3607,8479538,57.6,788831,5.4
"May 31, 2021",699,21554,4.1,532158,3611.8,26629,5,8766,1.6,20262,3.6,15212316,3611.8,8567888,58.2,821634,5.6
"June 1, 2021",733,20411,3.8,532891,3616.7,26703,5,8791,1.6,31768,2.8,15244084,3616.7,8667850,58.8,863740,5.9
"June 2, 2021",870,19439,3.6,533761,3622.6,26765,5,8801,1.6,34277,2.8,15278361,3622.6,8765622,59.5,917979,6.2
"June 3, 2021",914,18491,3.5,534675,3628.8,26814,5,8820,1.6,32258,2.8,15310619,3628.8,8879171,60.3,982898,6.7
"June 4, 2021",744,17374,3.2,535419,3633.9,26858,5,8844,1.7,27819,3.1,15338438,3633.9,8980557,61,1050175,7.1
"June 5, 2021",663,16093,3,536082,3638.4,26907,5,8854,1.7,22635,2.8,15361073,3638.4,9070759,61.6,1120691,7.6
"June 6, 2021",525,15133,2.8,536607,3642,26931,5,8869,1.7,15177,3.6,15376250,3642,9132621,62,1176423,8
"June 7, 2021",469,13974,2.6,537076,3645.1,26967,5,8887,1.7,17579,2.7,15393829,3645.1,9203460,62.5,1264569,8.6
"June 8, 2021",411,12981,2.4,537487,3647.9,27029,5,8920,1.7,30456,2.0,15424285,3647.9,9272593,62.9,1373811,9.3
"June 9, 2021",590,12264,2.3,538077,3651.9,27074,5,8931,1.7,31423,2.0,15455708,3651.9,9337361,63.4,1491383,10.1
"June 10, 2021",574,11662,2.2,538651,3655.8,27106,5,8935,1.7,28949,2.0,15484657,3655.8,9403321,63.8,1626814,11
"June 11, 2021",502,11182,2.1,539153,3659.2,27151,5,8950,1.7,24099,2.1,15508756,3659.2,9464470,64.2,1762213,12
"June 12, 2021",530,10572,2,539683,3662.8,27190,5,8957,1.7,20731,2.6,15529487,3662.8,9522044,64.6,1892233,12.8
"June 13, 2021",447,9861,1.8,540130,3665.9,27212,5,8961,1.7,13588,2.8,15543075,3665.9,9559902,64.9,1990257,13.5
"June 14, 2021",296,9333,1.7,540426,3667.9,27266,5,8974,1.7,17162,2.3,15560237,3667.9,9601241,65.2,2134970,14.5
"June 15, 2021",384,8706,1.6,540810,3670.5,27299,5,8986,1.7,28076,1.5,15588313,3670.5,9642562,65.4,2296708,15.6
"June 16, 2021",370,8355,1.5,541180,3673,27327,5,8993,1.7,30454,1.3,15618767,3673,9679304,65.7,2467132,16.7
"June 17, 2021",345,8039,1.5,541525,3675.3,27364,5.1,8994,1.7,26643,1.4,15645410,3675.3,9713574,65.9,2646838,18
"June 18, 2021",355,7603,1.4,541880,3677.7,27407,5.1,9007,1.7,25368,1.4,15670778,3677.7,9747979,66.2,2825235,19.2
"June 19, 2021",318,7109,1.3,542198,3679.9,27433,5.1,9019,1.7,21063,1.7,15691841,3679.9,9782687,66.4,2974436,20.2
"June 20, 2021",270,6615,1.2,542468,3681.7,27460,5.1,9022,1.7,13828,2.5,15705669,3681.7,9802899,66.5,3072957,20.9
"June 21, 2021",296,6238,1.1,542764,3683.7,27575,5.1,9082,1.7,16784,1.6,15722453,3683.7,9829265,66.7,3248191,22
"June 22, 2021",255,5925,1.1,543019,3685.5,27614,5.1,9093,1.7,27364,1.2,15749817,3685.5,9856768,66.9,3447690,23.4
"June 23, 2021",296,5695,1,543315,3687.5,27645,5.1,9099,1.7,29514,1.1,15779331,3687.5,9882362,67.1,3646311,24.7
"June 24, 2021",256,5469,1,543571,3689.2,27643,5.1,9101,1.7,26561,1.3,15805892,3689.2,9909289,67.3,3866998,26.2
"June 25, 2021",346,5226,1,543917,3691.6,27701,5.1,9114,1.7,25626,1.1,15831518,3691.6,9938216,67.5,4095897,27.8
"June 26, 2021",287,4925,0.9,544204,3693.5,27729,5.1,9126,1.7,18524,1.5,15850042,3693.5,9965147,67.6,4271239,29
"June 27, 2021",210,4714,0.9,544414,3694.9,27752,5.1,9129,1.7,13071,1.8,15863113,3694.9,9985664,67.8,4448296,30.2
"June 28, 2021",299,4511,0.8,544713,3697,27855,5.1,9154,1.7,28306,1.6,15891419,3697,10009251,67.9,4671641,31.7
"June 29, 2021",184,4317,0.8,544897,3698.2,27879,5.1,9168,1.7,27258,1.0,15918677,3698.2,10032569,68.1,4920549,33.4
"June 30, 2021",284,4173,0.8,545181,3700.2,27896,5.1,9187,1.7,26929,0.9,15945606,3700.2,10056987,68.3,5164666,35.1
"July 1, 2021",200,4004,0.7,545381,3701.5,27925,5.1,9196,1.7,25161,0.9,15970767,3701.5,10067610,68.3,5296272,35.9
"July 2, 2021",209,3874,0.7,545590,3702.9,27943,5.1,9205,1.7,17080,1.0,15987847,3702.9,10086585,68.5,5491345,37.3
"July 3, 2021",213,3743,0.7,545803,3704.4,27962,5.1,9214,1.7,18989,1.3,16006836,3704.4,10105007,68.6,5666276,38.5
"July 4, 2021",170,3579,0.7,545973,3705.5,27976,5.1,9215,1.7,12949,1.3,16019785,3705.5,10117010,68.7,5801671,39.4
"July 5, 2021",244,3454,0.6,546217,3707.2,28004,5.1,9224,1.7,15806,0.9,16035591,3707.2,10135978,68.8,5999595,40.7
"July 6, 2021",194,3372,0.6,546411,3708.5,28023,5.1,9224,1.7,26976,0.9,16062567,3708.5,10158091,68.9,6221231,42.2
"July 7, 2021",210,3263,0.6,546621,3709.9,28044,5.1,9228,1.7,25857,0.8,16088424,3709.9,10178476,69.1,6428838,43.6
"July 8, 2021",183,3189,0.6,546804,3711.2,28053,5.1,9237,1.7,26101,0.7,16114525,3711.2,10199173,69.2,6632392,45
"July 9, 2021",179,3141,0.6,546983,3712.4,28079,5.1,9245,1.7,23695,0.6,16138220,3712.4,10218909,69.4,6819109,46.3
"July 10, 2021",166,3070,0.6,547149,3713.5,-,-,9251,1.7,19651,0.9,16157871,3713.5,10235848,69.5,6971704,47.3
"July 11, 2021",114,2935,0.5,547263,3714.3,28097,5.1,9251,1.7,15933,0.9,16173804,3714.3,10246905,69.5,7082496,48.1
"July 12, 2021",146,2794,0.5,547409,3715.3,28109,5.1,9258,1.7,17489,0.8,16191293,3715.3,10265029,69.7,7239746,49.1
"July 13, 2021",153,2697,0.5,547562,3716.3,28119,5.1,9265,1.7,29085,0.6,16220378,3716.3,10283525,69.8,7398548,50.2
"July 14, 2021",143,2615,0.5,547705,3717.3,28139,5.1,9275,1.7,31329,0.5,16251707,3717.3,10302317,69.9,7544150,51.2
"July 15, 2021",159,2550,0.5,547864,3718.4,28152,5.1,9285,1.7,28126,0.6,16279833,3718.4,10321418,70.1,7691621,52.2
"July 16, 2021",176,2463,0.4,548040,3719.6,28163,5.1,9288,1.7,21392,0.60,16301225,3719.6,10340844,70.2,7842309,53.2
"July 17, 2021",177,2369,0.4,548217,3720.8,28173,5.1,9294,1.7,14805,1.00,16316030,3720.8,10356133,70.3,7958666,54
"July 18, 2021",130,2363,0.4,548347,3721.6,28179,5.1,9294,1.7,11567,1.00,16327597,3721.6,10366161,70.4,8039419,54.6
"July 19, 2021",127,2353,0.4,548474,3722.5,28190,5.1,9296,1.7,13586,0.9,16341183,3722.5,10382395,70.5,8154518,55.3
"July 20, 2021",135,2287,0.4,548609,3723.4,28200,5.1,9300,1.7,20750,0.8,16361933,3723.4,10398680,70.6,8275966,56.2
"July 21, 2021",185,2248,0.4,548794,3724.7,28210,5.1,9307,1.7,19599,0.9,16381532,3724.7,10415493,70.7,8382190,56.9
"July 22, 2021",192,2245,0.4,548986,3726,28211,5.1,9308,1.7,19757,0.9,16401289,3726,10431733,70.8,8483719,57.6
"July 23, 2021",170,2185,0.4,549156,3727.1,28221,5.1,9311,1.7,19131,0.80,16420420,3727.1,10449439,70.9,8590384,58.3
"July 24, 2021",172,2141,0.4,549328,3728.3,28233,5.1,9313,1.7,13902,1.10,16434322,3728.3,10463682,71,8677695,58.9
"July 25, 2021",119,2165,0.4,549447,3729.1,28239,5.1,9316,1.7,11930,1.00,16446252,3729.1,10473195,71.1,8733620,59.3
"July 26, 2021",129,2162,0.4,549576,3730,28248,5.1,9321,1.7,13644,1.0,16459896,3730,10487679,71.2,8808892,59.8
"July 27, 2021",158,2157,0.4,549734,3731.1,28257,5.1,9325,1.7,20527,0.8,16480423,3731.1,10503287,71.3,8884657,60.3
"July 28, 2021",218,2165,0.4,549952,3732.5,28259,5.1,9328,1.7,19425,1.3,16499848,3732.5,10519116,71.4,8955727,60.8
"July 29, 2021",226,2178,0.4,550178,3734.1,28273,5.1,9339,1.7,20993,1.1,16520841,3734.1,10534370,71.5,9022018,61.2
"July 30, 2021",258,2195,0.4,550436,3735.8,28283,5.1,9345,1.7,19112,1.2,16539953,3735.8,10549279,71.6,9088520,61.7
"July 31, 2021",218,2291,0.4,550654,3737.3,28292,5.1,9347,1.7,14122,1.4,16554075,3737.3,10559966,71.7,9137851,62
"August 1, 2021",168,2374,0.4,550822,3738.4,28299,5.1,9348,1.7,11658,1.3,16565733,3738.4,10566872,71.7,9172112,62.3
"August 2, 2021",164,2426,0.4,550986,3739.6,28307,5.1,9349,1.7,11515,1.1,16577248,3739.6,10572090,71.8,9198043,62.4
"August 3, 2021",139,2460,0.4,551125,3740.5,28319,5.1,9360,1.7,17115,1.2,16594363,3740.5,10583749,71.8,9245615,62.8
"August 4, 2021",213,2478,0.4,551338,3741.9,28328,5.1,9374,1.7,23494,1.2,16617857,3741.9,10595595,71.9,9291261,63.1
"August 5, 2021",340,2489,0.5,551678,3744.2,28345,5.1,9392,1.7,23448,1.4,16641305,3744.2,10606754,72,9333955,63.3
"August 6, 2021",378,2532,0.5,552056,3746.8,28359,5.1,9401,1.7,20858,1.8,16662163,3746.8,10618266,72.1,9382940,63.7
"August 7, 2021",423,2626,0.5,552479,3749.7,28363,5.1,9407,1.7,14963,2.0,16677126,3749.7,10626974,72.1,9421023,63.9
"August 8, 2021",325,2792,0.5,552804,3751.9,28372,5.1,9407,1.7,15805,2.3,16692931,3751.9,10632516,72.2,9445272,64.1
"August 9, 2021",321,3068,0.6,553125,3754.1,28391,5.1,9409,1.7,16479,1.7,16709410,3754.1,10642429,72.2,9482690,64.4
"August 10, 2021",324,3249,0.6,553449,3756.3,28406,5.1,9412,1.7,24772,1.7,16734182,3756.3,10652542,72.3,9519391,64.6
"August 11, 2021",513,3463,0.6,553962,3759.7,28417,5.1,9412,1.7,22896,2.1,16757078,3759.7,10663150,72.4,9556206,64.9
"August 12, 2021",510,3670,0.7,554472,3763.2,28435,5.1,9416,1.7,23586,2.0,16780664,3763.2,10674328,72.4,9592878,65.1
"August 13, 2021",578,3892,0.7,555050,3767.1,28456,5.1,9418,1.7,23468,2.4,16804132,3767.1,10685938,72.5,9630750,65.4
"August 14, 2021",511,4190,0.8,555561,3770.6,28475,5.1,9418,1.7,19192,2.6,16823324,3770.6,10695312,72.6,9661649,65.6
"August 15, 2021",526,4471,0.8,556087,3774.2,28479,5.1,9418,1.7,15784,2.7,16839108,3774.2,10701183,72.6,9681617,65.7
"August 16, 2021",348,4775,0.9,556435,3776.5,28498,5.1,9428,1.7,17408,2.6,16856516,3776.5,10711753,72.7,9709806,65.9
"August 17, 2021",485,5085,0.9,556920,3779.8,28523,5.1,9431,1.7,26307,2.5,16882823,3779.8,10723218,72.8,9738622,66.1
"August 18, 2021",531,5380,1,557451,3783.4,28543,5.1,9448,1.7,26213,2.4,16909036,3783.4,10739294,72.9,9766917,66.3
"August 19, 2021",650,5668,1,558101,3787.8,28572,5.1,9450,1.7,28635,2.4,16937671,3787.8,10755167,73,9795872,66.5
"August 20, 2021",689,5947,1.1,558790,3792.5,28597,5.1,9451,1.7,26096,2.7,16963767,3792.5,10769919,73.1,9827573,66.7
"August 21, 2021",722,6346,1.1,559512,3797.4,28623,5.1,9453,1.7,23075,3.2,16986842,3797.4,10780378,73.2,9850099,66.9
"August 22, 2021",639,6706,1.2,560151,3801.8,28644,5.1,9453,1.7,19866,2.8,17006708,3801.8,10787188,73.2,9865755,67
"August 23, 2021",486,6972,1.2,560637,3805.1,28717,5.1,9471,1.7,17369,3.0,17024077,3805.1,10800163,73.3,9888748,67.1
"August 24, 2021",660,7346,1.3,561297,3809.5,28788,5.1,9472,1.7,26406,2.4,17050483,3809.5,10814150,73.4,9914265,67.3
"August 25, 2021",678,7456,1.3,561975,3814.1,28820,5.1,9472,1.7,27815,2.8,17078298,3814.1,10827321,73.5,9938395,67.5
"August 26, 2021",781,7632,1.4,562756,3819.4,28861,5.1,9489,1.7,30063,3.0,17108361,3819.4,10839799,73.6,9961227,67.6
"August 27, 2021",835,7885,1.4,563591,3825.1,28900,5.1,9496,1.7,28528,2.6,17136889,3825.1,10852847,73.7,9985813,67.8
"August 28, 2021",740,8163,1.4,564331,3830.1,28920,5.1,9498,1.7,22890,3.3,17159779,3830.1,10862800,73.7,10004991,67.9
"August 29, 2021",694,8508,1.5,565025,3834.8,28936,5.1,9498,1.7,18561,3.6,17178340,3834.8,10868764,73.8,10016493,68
"August 30, 2021",525,8720,1.5,565550,3838.4,28961,5.1,9503,1.7,19643,3.1,17197983,3838.4,10880347,73.8,10035435,68.1
"August 31, 2021",656,8915,1.6,566206,3842.8,29001,5.1,9516,1.7,27572,2.9,17225555,3842.8,10892948,73.9,10056387,68.3
"September 1, 2021",865,9043,1.6,567071,3848.7,29042,5.1,9530,1.7,27293,3.0,17252848,3848.7,10908259,74,10075257,68.4
"September 2, 2021",807,9219,1.6,567878,3854.2,29080,5.1,9536,1.7,28786,3.2,17281634,3854.2,10928982,74.2,10096919,68.5
"September 3, 2021",944,9511,1.7,568822,3860.6,29124,5.1,9545,1.7,26259,3.5,17307893,3860.6,10949274,74.3,10120904,68.7
"September 4, 2021",811,9670,1.7,569633,3866.1,29160,5.1,9548,1.7,22410,0.0,17330303,3866.1,10963232,74.4,10138728,68.8
"September 5, 2021",581,9833,1.7,570214,3870.1,29182,5.1,9550,1.7,19200,3.6,17349503,3870.1,10972565,74.5,10150265,68.9
"September 6, 2021",564,9977,1.7,570778,3873.9,29202,5.1,9553,1.7,17118,3.4,17366621,3873.9,10978920,74.5,10157644,68.9
"September 7, 2021",554,9948,1.7,571332,3877.6,29245,5.1,9569,1.7,21840,3.3,17388461,3877.6,10995701,74.6,10177726,69.1
"September 8, 2021",798,10084,1.8,572130,3883.1,29298,5.1,9579,1.7,29684,3.1,17418145,3883.1,11012437,74.7,10196546,69.2
"September 9, 2021",848,10094,1.8,572978,3888.8,29330,5.1,9590,1.7,28247,3.1,17446392,3888.8,11027627,74.8,10214688,69.3
"September 10, 2021",857,10137,1.8,573835,3894.6,29361,5.1,9605,1.7,26268,3.5,17472660,3894.6,11043236,75,10237304,69.5
"September 11, 2021",784,10191,1.8,574619,3899.9,29380,5.1,9611,1.7,23625,3.2,17496285,3899.9,11054488,75,10254475,69.6
"September 12, 2021",600,10143,1.8,575219,3904,29401,5.1,9617,1.7,19125,3.1,17515410,3904,11060692,75.1,10263259,69.7
"September 13, 2021",577,10227,1.8,575796,3907.9,29428,5.1,9624,1.7,21133,2.3,17536543,3907.9,11071948,75.1,10277924,69.8
"September 14, 2021",593,10224,1.8,576389,3912,29470,5.1,9629,1.7,33220,2.5,17569763,3912,11085635,75.2,10296675,69.9
"September 15, 2021",864,10230,1.8,577253,3917.8,29510,5.1,9632,1.7,34365,2.4,17604128,3917.8,11099318,75.3,10315190,70
"September 16, 2021",795,10144,1.8,578048,3923.2,29540,5.1,9637,1.7,33763,2.4,17637891,3923.2,11112663,75.4,10333789,70.1
"September 17, 2021",821,10168,1.8,578869,3928.8,29561,5.1,9647,1.7,30716,2.5,17668607,3928.8,11126479,75.5,10356314,70.3
"September 18, 2021",715,10117,1.7,579584,3933.6,29576,5.1,9653,1.7,29906,2.3,17698513,3933.6,11137104,75.6,10374704,70.4
"September 19, 2021",610,10080,1.7,580194,3937.8,29589,5.1,9655,1.7,23864,2.7,17722377,3937.8,11143076,75.6,10384563,70.5
"September 20, 2021",574,9988,1.7,580768,3941.7,29620,5.1,9663,1.7,23631,2.4,17746008,3941.7,11154081,75.7,10400779,70.6
"September 21, 2021",463,9983,1.7,581231,3944.8,29662,5.1,9670,1.7,39092,1.8,17785100,3944.8,11168737,75.8,10422991,70.7
"September 22, 2021",677,9909,1.7,581908,3949.4,29691,5.1,9677,1.7,37630,1.9,17822730,3949.4,11184700,75.9,10448194,70.9
"September 23, 2021",727,9974,1.7,582635,3954.4,29727,5.1,9688,1.7,36855,1.8,17859585,3954.4,11200119,76,10473863,71.1
"September 24, 2021",640,7346,1.3,583275,3958.7,29768,5.1,9698,1.7,33303,1.9,17892888,3958.7,11215248,76.1,10502681,71.3
"September 25, 2021",653,7456,1.3,583928,3963.1,29768,5.1,9704,1.7,31063,2.0,17923951,3963.1,11227525,76.2,10526259,71.4
"September 26, 2021",613,9597,1.6,584541,3967.3,29798,5.1,9704,1.7,22633,2.0,17946584,3967.3,11233966,76.2,10538101,71.5
"September 27, 2021",466,9397,1.6,585007,3970.5,29832,5.1,9715,1.7,23785,2.1,17970369,3970.5,11245052,76.3,10555134,71.6
"September 28, 2021",495,9302,1.6,585502,3973.8,29860,5.1,9723,1.7,36404,1.7,18006773,3973.8,11257345,76.4,10575883,71.8
"September 29, 2021",647,9171,1.6,586149,3978.2,29880,5.1,9732,1.7,38788,1.7,18045561,3978.2,11268809,76.5,10596384,71.9
"September 30, 2021",668,9137,1.6,586817,3982.7,29917,5.1,9743,1.7,35927,1.8,18081488,3982.7,11278404,76.5,10613914,72
"October 1, 2021",704,8908,1.5,587521,3987.5,29941,5.1,9750,1.7,28519,1.8,18110007,3987.5,11289370,76.6,10636653,72.2
"October 2, 2021",580,8787,1.5,588101,3991.5,29963,5.1,9752,1.7,32220,2.0,18142227,3991.5,11297432,76.7,10654316,72.3
"October 3, 2021",511,8608,1.5,588612,3994.9,29980,5.1,9754,1.7,23667,2.0,18165894,3994.9,11302051,76.7,10663821,72.4
"October 4, 2021",429,8455,1.4,589041,3997.8,30001,5.1,9757,1.7,25441,1.8,18191335,3997.8,11310465,76.8,10678914,72.5
"October 5, 2021",476,8344,1.4,589517,4001.1,30032,5.1,9771,1.7,39460,1.7,18230795,4001.1,11319964,76.8,10696480,72.6
"October 6, 2021",587,8328,1.4,590104,4005,30052,5.1,9776,1.7,37057,1.7,18267852,4005,11329166,76.9,10712842,72.7
"October 7, 2021",573,8131,1.4,590677,4008.9,30086,5.1,9786,1.7,37118,1.8,18304970,4008.9,11339766,77,10730813,72.8
"October 8, 2021",654,8146,1.4,591331,4013.4,30112,5.1,9788,1.7,31123,1.8,18336093,4013.4,11350279,77,10750795,73
"October 9, 2021",535,7978,1.3,591886,4017.1,30130,5.1,9790,1.7,29755,1.8,18365848,4017.1,11357821,77.1,10765174,73.1
"October 10, 2021",458,7992,1.3,592324,4020.1,30147,5.1,9792,1.7,20785,1.9,18386633,4020.1,11361508,77.1,10772606,73.1
"October 11, 2021",390,7907,1.3,592714,4022.8,30165,5.1,9792,1.7,18280,1.9,18404913,4022.8,11362934,77.1,10775415,73.1
"October 12, 2021",306,7784,1.3,593020,4024.8,30194,5.1,9804,1.7,23219,1.7,18428132,4024.8,11371946,77.2,10792741,73.3
"October 13, 2021",417,7694,1.3,593437,4027.7,30226,5.1,9807,1.7,35421,1.5,18463553,4027.7,11380673,77.2,10809617,73.4
"October 14, 2021",496,7569,1.3,593933,4031,30269,5.1,9809,1.7,35905,1.4,18499458,4031,11389335,77.3,10826924,73.5
"October 15, 2021",486,7341,1.2,594419,4034.3,30295,5.1,9814,1.7,32626,1.7,18532084,4034.3,11398083,77.4,10846064,73.6
"October 16, 2021",443,7077,1.2,594862,4037.3,30310,5.1,9813,1.6,27395,1.4,18559479,4037.3,11405198,77.4,10860886,73.7
"October 17, 2021",373,7029,1.2,595235,4039.9,30328,5.1,9815,1.6,20432,1.8,18579911,4039.9,11408863,77.4,10868750,73.8
"October 18, 2021",328,6911,1.2,595563,4042.1,30344,5.1,9819,1.6,20792,1.5,18600703,4042.1,11415226,77.5,10880795,73.8
"October 19, 2021",304,6742,1.1,595867,4044.2,30362,5.1,9823,1.6,31569,1.3,18632272,4044.2,11422584,77.5,10895085,73.9
"October 20, 2021",413,6589,1.1,596280,4047,30389,5.1,9827,1.6,31889,1.6,18664161,4047,11429078,77.6,10907498,74
"October 21, 2021",492,6485,1.1,596772,4050.3,30422,5.1,9839,1.6,28906,1.4,18693067,4050.3,11436171,77.6,10921973,74.1
"October 22, 2021",373,6227,1,597145,4052.8,30445,5.1,9845,1.6,27302,1.5,18720369,4052.8,11443587,77.7,10938351,74.2
"October 23, 2021",370,6117,1,597515,4055.3,30453,5.1,9846,1.6,25328,1.2,18745697,4055.3,11449207,77.7,10950353,74.3
"October 24, 2021",326,5872,1,597841,4057.6,30468,5.1,9846,1.6,18397,1.6,18764094,4057.6,11451854,77.7,10956567,74.4
"October 25, 2021",269,5716,1,598110,4059.4,30486,5.1,9852,1.6,21827,1.5,18785921,4059.4,11457031,77.8,10967026,74.4
"October 26, 2021",321,5539,0.9,598431,4061.6,30499,5.1,9862,1.6,30776,1.4,18816697,4061.6,11462907,77.8,10979551,74.5
"October 27, 2021",409,5418,0.9,598840,4064.3,30518,5.1,9865,1.6,31383,1.3,18848080,4064.3,11468548,77.8,10991593,74.6
"October 28, 2021",419,5364,0.9,599259,4067.2,30538,5.1,9865,1.6,29592,1.3,18877672,4067.2,11474056,77.9,11004005,74.7
"October 29, 2021",356,5322,0.9,599615,4069.6,30560,5.1,9869,1.6,26767,1.4,18904439,4069.6,11479880,77.9,11017918,74.8
"October 30, 2021",340,5412,0.9,599955,4071.9,30571,5.1,9871,1.6,25707,1.7,18930146,4071.9,11484308,77.9,11028003,74.8
"October 31, 2021",422,5229,0.9,600377,4074.8,30578,5.1,9874,1.6,19840,1.8,18949986,4074.8,11486290,78,11032818,74.9
"November 1, 2021",331,5087,0.8,600708,4077,30608,5.1,9881,1.6,20148,1.5,18970134,4077,11490397,78,11040081,74.9
"November 2, 2021",378,5134,0.9,601086,4079.6,30640,5.1,9886,1.6,32950,1.4,19003084,4079.6,11495175,78,11049136,75
"November 3, 2021",438,5103,0.8,601524,4082.6,30659,5.1,9891,1.6,32129,1.7,19035213,4082.6,11499787,78,11058560,75.1
"November 4, 2021",563,5128,0.9,602087,4086.4,30685,5.1,9896,1.6,30187,1.8,19065400,4086.4,11503980,78.1,11067608,75.1
"November 5, 2021",508,5182,0.9,602595,4089.8,30699,5.1,9896,1.6,30145,1.9,19095545,4089.8,11508947,78.1,11079147,75.2
"November 6, 2021",636,5260,0.9,603231,4094.1,30718,5.1,9898,1.6,27146,2.0,19122691,4094.1,11512779,78.1,11087622,75.3
"November 7, 2021",480,5376,0.9,603711,4097.4,30730,5.1,9900,1.6,22980,2.2,19145671,4097.4,11514784,78.2,11092149,75.3
"November 8, 2021",441,5565,0.9,604152,4100.4,30756,5.1,9903,1.6,19368,3.1,19165039,4100.4,11518412,78.2,11099301,75.3
"November 9, 2021",454,5786,1,604606,4103.5,30784,5.1,9912,1.6,33364,1.8,19198403,4103.5,11522736,78.2,11107726,75.4
"November 10, 2021",642,6034,1,605248,4107.8,30809,5.1,9916,1.6,29814,2.1,19228217,4107.8,11526881,78.2,11116251,75.4
"November 11, 2021",598,6133,1,605846,4111.9,30840,5.1,9921,1.6,30230,2.5,19258447,4111.9,11530866,78.3,11123987,75.5
"November 12, 2021",661,6375,1.1,606507,4116.4,30867,5.1,9927,1.6,26456,2.4,19284903,4116.4,11535787,78.3,11134873,75.6
"November 13, 2021",666,6508,1.1,607173,4120.9,30889,5.1,9934,1.6,24853,2.7,19309756,4120.9,11539537,78.3,11142979,75.6
"November 14, 2021",552,6794,1.1,607725,4124.6,30908,5.1,9937,1.6,21475,2.2,19331231,4124.6,11541637,78.3,11147227,75.7
"November 15, 2021",481,7086,1.2,608206,4127.9,30944,5.1,9938,1.6,18965,2.5,19350196,4127.9,11545364,78.4,11154224,75.7
"November 16, 2021",512,7261,1.2,608718,4131.4,30969,5.1,9950,1.6,28931,2.5,19379127,4131.4,11549287,78.4,11161472,75.8
"November 17, 2021",711,7421,1.2,609429,4136.2,30997,5.1,9955,1.6,34347,2,19413474,4136.2,11552995,78.4,11168499,75.8
"November 18, 2021",793,7589,1.2,610222,4141.6,31025,5.1,9959,1.6,30515,2.6,19443989,4141.6,11556718,78.4,11175791,75.9
"November 19, 2021",728,7837,1.3,610950,4146.5,31067,5.1,9964,1.6,30138,2.3,19474127,4146.5,11560957,78.5,11184142,75.9
"November 20, 2021",741,8020,1.3,611691,4151.6,31087,5.1,9967,1.6,29799,2.6,19503926,4151.6,11564277,78.5,11190704,76
"November 21, 2021",627,8300,1.4,612318,4155.8,31102,5.1,9968,1.6,19552,3.4,19523478,4155.8,11566135,78.5,11194352,76
"November 22, 2021",613,8366,1.4,612931,4160,31130,5.1,9974,1.6,19859,3.1,19543337,4160,11569243,78.5,11199936,76
"November 23, 2021",591,8561,1.4,613522,4164,31166,5.1,9981,1.6,30092,2.5,19573429,4164,11572861,78.5,11206214,76.1
"November 24, 2021",748,8668,1.4,614270,4169.1,31200,5.1,9985,1.6,33932,2.6,19607361,4169.1,11576641,78.6,11212316,76.1
"November 25, 2021",927,8827,1.4,615197,4175.4,31223,5.1,9991,1.6,33901,3.0,19641262,4175.4,11587887,78.6,11218457,76.1
"November 26, 2021",854,8987,1.5,616051,4181.1,31253,5.1,9993,1.6,31444,3.0,19672706,4181.1,11610066,78.8,11225023,76.2
"November 27, 2021",964,9139,1.5,617015,4187.7,31270,5.1,9994,1.6,29692,3.2,19702398,4187.7,11637621,79,11229928,76.2
"November 28, 2021",788,9431,1.5,617803,4193,31288,5.1,9997,1.6,26016,3.5,19728414,4193,11656443,79.1,11232541,76.2
"November 29, 2021",687,9699,1.6,618490,4197.7,31321,5.1,10000,1.6,21476,3.0,19749890,4197.7,11676922,79.3,11237190,76.3
"November 30, 2021",780,9987,1.6,619270,4203,31360,5.1,10005,1.6,35364,3.1,19785254,4203,11702968,79.4,11242309,76.3
"December 1, 2021",959,10211,1.6,620229,4209.5,31395,5.1,10012,1.6,38480,2.9,19823734,4209.5,11729228,79.6,11246928,76.3
"December 2, 2021",1031,10386,1.7,621260,4216.5,31427,5.1,10016,1.6,39748,2.9,19863482,4216.5,11754046,79.8,11251671,76.4
"December 3, 2021",1053,10654,1.7,622313,4223.6,31449,5.1,10024,1.6,36268,3.5,19899750,4223.6,11781639,80,11257260,76.4
